# Fission Isotope Spectra
#  U235, Pu239, Pu241: Fit Extrapolation of reported Huber's spectra
#  U238: Fit Extrapolation of Muller spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    3.35       0.511043       0.709838       0.368815       0.494863
    3.36       0.507026         0.7051       0.366017       0.490927
    3.37       0.503042       0.700394        0.36324       0.487022
    3.38       0.499088        0.69572       0.360484       0.483149
    3.39       0.495165       0.691076       0.357749       0.479306
     3.4       0.491274       0.686464       0.355035       0.475494
    3.41       0.487413       0.681882       0.352341       0.471712
    3.42       0.483582       0.677331       0.349668        0.46796
    3.43       0.479781       0.672811       0.347015       0.464238
    3.44        0.47601        0.66832       0.344382       0.460546
    3.45       0.472269        0.66386        0.34177       0.456883
    3.46       0.468558       0.659429       0.339177       0.453249
    3.47       0.464875       0.655028       0.336603       0.449644
    3.48       0.461221       0.650656        0.33405       0.446067
    3.49       0.457596       0.646314       0.331515        0.44252
     3.5          0.454          0.642          0.329          0.439
    3.51       0.450005       0.637525       0.325967       0.434839
    3.52       0.446046       0.633081       0.322962       0.430718
    3.53       0.442121       0.628668       0.319985       0.426636
    3.54       0.438231       0.624286       0.317035       0.422593
    3.55       0.434375       0.619934       0.314112       0.418588
    3.56       0.430553       0.615613       0.311216       0.414621
    3.57       0.426765       0.611322       0.308347       0.410692
    3.58        0.42301       0.607061       0.305505       0.406799
    3.59       0.419288       0.602829       0.302689       0.402944
     3.6       0.415599       0.598627       0.299898       0.399125
    3.61       0.411942       0.594455       0.297133       0.395343
    3.62       0.408317       0.590311       0.294394       0.391596
    3.63       0.404725       0.586196        0.29168       0.387885
    3.64       0.401163        0.58211       0.288991       0.384209
    3.65       0.397634       0.578052       0.286327       0.380567
    3.66       0.394135       0.574023       0.283688       0.376961
    3.67       0.390667       0.570022       0.281072       0.373388
    3.68        0.38723       0.566049       0.278481       0.369849
    3.69       0.383823       0.562103       0.275914       0.366344
     3.7       0.380445       0.558185        0.27337       0.362872
    3.71       0.377098       0.554294        0.27085       0.359433
    3.72        0.37378        0.55043       0.268353       0.356027
    3.73       0.370491       0.546594        0.26588       0.352653
    3.74       0.367231       0.542783       0.263428        0.34931
    3.75          0.364          0.539          0.261          0.346
    3.76       0.360904       0.535171       0.257974       0.343181
    3.77       0.357834       0.531368       0.254983       0.340385
    3.78        0.35479       0.527593       0.252027       0.337611
    3.79       0.351772       0.523845       0.249106        0.33486
     3.8       0.348779       0.520123       0.246218       0.332132
    3.81       0.345812       0.516428       0.243363       0.329426
    3.82       0.342871       0.512759       0.240542       0.326742
    3.83       0.339954       0.509116       0.237753       0.324079
    3.84       0.337062       0.505499       0.234997       0.321439
    3.85       0.334195       0.501908       0.232273        0.31882
    3.86       0.331352       0.498342        0.22958       0.316222
    3.87       0.328533       0.494801       0.226918       0.313646
    3.88       0.325739       0.491286       0.224288        0.31109
    3.89       0.322968       0.487796       0.221687       0.308555
     3.9        0.32022        0.48433       0.219117       0.306041
    3.91       0.317496       0.480889       0.216577       0.303548
    3.92       0.314796       0.477473       0.214066       0.301074
    3.93       0.312118        0.47408       0.211585       0.298621
    3.94       0.309463       0.470712       0.209132       0.296188
    3.95        0.30683       0.467368       0.206707       0.293775
    3.96        0.30422       0.464048       0.204311       0.291381
    3.97       0.301632       0.460751       0.201942       0.289007
    3.98       0.299066       0.457477       0.199601       0.286652
    3.99       0.296522       0.454227       0.197287       0.284317
       4          0.294          0.451          0.195          0.282
    4.01       0.291127       0.447297       0.193317       0.279213
    4.02       0.288282       0.443625       0.191648       0.276454
    4.03       0.285465       0.439982       0.189993       0.273722
    4.04       0.282676        0.43637       0.188353       0.271017
    4.05       0.279913       0.432787       0.186727       0.268339
    4.06       0.277178       0.429234       0.185115       0.265687
    4.07       0.274469        0.42571       0.183517       0.263062
    4.08       0.271787       0.422215       0.181933       0.260462
    4.09       0.269131       0.418748       0.180362       0.257888
     4.1       0.266501        0.41531       0.178805        0.25534
    4.11       0.263897         0.4119       0.177262       0.252817
    4.12       0.261318       0.408518       0.175732       0.250318
    4.13       0.258765       0.405164       0.174215       0.247845
    4.14       0.256236       0.401838       0.172711       0.245395
    4.15       0.253732       0.398538        0.17122        0.24297
    4.16       0.251253       0.395266       0.169742       0.240569
