# Fission Isotope Spectra
#  U235, Pu239, Pu241: Log-linear Interpolation of reported ILL spectra
#  U238: Log-linear Interpolation of Muller's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    3.41       0.470335       0.681882        0.34375       0.453566
    3.42       0.466509       0.677331        0.34067       0.449708
    3.43       0.462714       0.672811       0.337617       0.445882
    3.44        0.45895        0.66832       0.334591        0.44209
    3.45       0.455217        0.66386       0.331593       0.438329
    3.46       0.451514       0.659429       0.328622         0.4346
    3.47       0.447841       0.655028       0.325677       0.430903
    3.48       0.444197       0.650656       0.322759       0.427238
    3.49       0.440584       0.646314       0.319866       0.423603
     3.5          0.437          0.642          0.317           0.42
    3.51       0.433235       0.637525       0.313903       0.416168
    3.52       0.429503       0.633081       0.310836       0.412372
    3.53       0.425803       0.628668       0.307798        0.40861
    3.54       0.422135       0.624286       0.304791       0.404882
    3.55       0.418498       0.619934       0.301813       0.401189
    3.56       0.414893       0.615613       0.298864       0.397529
    3.57       0.411319       0.611322       0.295944       0.393902
    3.58       0.407775       0.607061       0.293052       0.390309
    3.59       0.404263       0.602829       0.290189       0.386748
     3.6        0.40078       0.598627       0.287353        0.38322
    3.61       0.397327       0.594455       0.284546       0.379724
    3.62       0.393904       0.590311       0.281765        0.37626
    3.63       0.390511       0.586196       0.279012       0.372827
    3.64       0.387147        0.58211       0.276286       0.369426
    3.65       0.383812       0.578052       0.273587       0.366056
    3.66       0.380505       0.574023       0.270913       0.362717
    3.67       0.377227       0.570022       0.268266       0.359408
    3.68       0.373978       0.566049       0.265645       0.356129
    3.69       0.370756       0.562103        0.26305        0.35288
     3.7       0.367562       0.558185       0.260479       0.349661
    3.71       0.364395       0.554294       0.257934       0.346471
    3.72       0.361256        0.55043       0.255414        0.34331
    3.73       0.358144       0.546594       0.252918       0.340178
    3.74       0.355059       0.542783       0.250447       0.337075
    3.75          0.352          0.539          0.248          0.334
    3.76       0.348941       0.535171       0.245371        0.33117
    3.77       0.345909       0.531368        0.24277       0.328364
    3.78       0.342903       0.527593       0.240197       0.325582
    3.79       0.339924       0.523845       0.237651       0.322824
     3.8        0.33697       0.520123       0.235132       0.320088
    3.81       0.334042       0.516428        0.23264       0.317376
    3.82       0.331139       0.512759       0.230174       0.314687
    3.83       0.328262       0.509116       0.227734       0.312021
    3.84        0.32541       0.505499        0.22532       0.309377
    3.85       0.322582       0.501908       0.222932       0.306756
    3.86       0.319779       0.498342       0.220569       0.304157
    3.87          0.317       0.494801       0.218231        0.30158
    3.88       0.314246       0.491286       0.215918       0.299025
    3.89       0.311515       0.487796       0.213629       0.296491
     3.9       0.308808        0.48433       0.211365       0.293979
    3.91       0.306125       0.480889       0.209124       0.291489
    3.92       0.303465       0.477473       0.206908       0.289019
    3.93       0.300828        0.47408       0.204715        0.28657
    3.94       0.298214       0.470712       0.202545       0.284142
    3.95       0.295623       0.467368       0.200398       0.281735
    3.96       0.293054       0.464048       0.198274       0.279348
    3.97       0.290507       0.460751       0.196172       0.276981
    3.98       0.287983       0.457477       0.194093       0.274634
    3.99       0.285481       0.454227       0.192036       0.272307
       4          0.283          0.451           0.19           0.27
    4.01       0.280316       0.447297       0.188111       0.267299
    4.02       0.277657       0.443625       0.186241       0.264626
    4.03       0.275023       0.439982       0.184389       0.261979
    4.04       0.272414        0.43637       0.182555       0.259359
    4.05        0.26983       0.432787        0.18074       0.256764
    4.06        0.26727       0.429234       0.178943       0.254196
    4.07       0.264735        0.42571       0.177164       0.251654
    4.08       0.262224       0.422215       0.175403       0.249137
    4.09       0.259737       0.418748       0.173659       0.246645
     4.1       0.257273        0.41531       0.171932       0.244178
    4.11       0.254832         0.4119       0.170223       0.241735
    4.12       0.252415       0.408518        0.16853       0.239317
    4.13       0.250021       0.405164       0.166854       0.236924
    4.14       0.247649       0.401838       0.165195       0.234554
    4.15         0.2453       0.398538       0.163553       0.232208
