# Fission Isotope Spectra
#  U235, Pu239, Pu241: Interpolation of reported ILL spectra
#  U238: Interpolation of Vogel's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    3.78       0.342903       0.451075       0.240197       0.325582
    3.79       0.339924       0.447892       0.237651       0.322824
     3.8        0.33697       0.444731       0.235132       0.320088
    3.81       0.334042       0.441593        0.23264       0.317376
    3.82       0.331139       0.438477       0.230174       0.314687
    3.83       0.328262       0.435382       0.227734       0.312021
    3.84        0.32541        0.43231        0.22532       0.309377
    3.85       0.322582        0.42926       0.222932       0.306756
    3.86       0.319779        0.42623       0.220569       0.304157
    3.87          0.317       0.423223       0.218231        0.30158
    3.88       0.314246       0.420236       0.215918       0.299025
    3.89       0.311515       0.417271       0.213629       0.296491
     3.9       0.308808       0.414326       0.211365       0.293979
    3.91       0.306125       0.411402       0.209124       0.291489
    3.92       0.303465       0.408499       0.206908       0.289019
    3.93       0.300828       0.405617       0.204715        0.28657
    3.94       0.298214       0.402754       0.202545       0.284142
    3.95       0.295623       0.399912       0.200398       0.281735
    3.96       0.293054        0.39709       0.198274       0.279348
    3.97       0.290507       0.394288       0.196172       0.276981
    3.98       0.287983       0.391506       0.194093       0.274634
    3.99       0.285481       0.388743       0.192036       0.272307
       4          0.283          0.386           0.19           0.27
    4.01       0.280316       0.382902       0.188111       0.267299
    4.02       0.277657       0.379829       0.186241       0.264626
    4.03       0.275023       0.376781       0.184389       0.261979
    4.04       0.272414       0.373757       0.182555       0.259359
    4.05        0.26983       0.370758        0.18074       0.256764
    4.06        0.26727       0.367783       0.178943       0.254196
    4.07       0.264735       0.364831       0.177164       0.251654
    4.08       0.262224       0.361903       0.175403       0.249137
    4.09       0.259737       0.358999       0.173659       0.246645
     4.1       0.257273       0.356118       0.171932       0.244178
    4.11       0.254832        0.35326       0.170223       0.241735
    4.12       0.252415       0.350425        0.16853       0.239317
    4.13       0.250021       0.347613       0.166854       0.236924
    4.14       0.247649       0.344823       0.165195       0.234554
    4.15         0.2453       0.342056       0.163553       0.232208
    4.16       0.242973       0.339311       0.161927       0.229885
    4.17       0.240668       0.336588       0.160317       0.227586
    4.18       0.238385       0.333887       0.158723        0.22531
    4.19       0.236124       0.331207       0.157145       0.223056
     4.2       0.233884       0.328549       0.155582       0.220825
    4.21       0.231666       0.325912       0.154035       0.218616
    4.22       0.229468       0.323297       0.152504        0.21643
    4.23       0.227292       0.320702       0.150988       0.214265
    4.24       0.225136       0.318129       0.149486       0.212122
    4.25          0.223       0.315576          0.148           0.21
    4.26       0.220696       0.313043       0.146092       0.207571
    4.27       0.218415       0.310531       0.144209        0.20517
    4.28       0.216158       0.308039        0.14235       0.202797
    4.29       0.213925       0.305567       0.140515       0.200451
     4.3       0.211714       0.303115       0.138703       0.198132
    4.31       0.209526       0.300682       0.136915       0.195841
    4.32       0.207361       0.298269        0.13515       0.193575
    4.33       0.205218       0.295875       0.133408       0.191336
    4.34       0.203098       0.293501       0.131688       0.189123
    4.35       0.200999       0.291145        0.12999       0.186935
    4.36       0.198922       0.288809       0.128314       0.184773
    4.37       0.196867       0.286491        0.12666       0.182636
    4.38       0.194832       0.284192       0.125027       0.180523
    4.39       0.192819       0.281911       0.123416       0.178435
     4.4       0.190827       0.279649       0.121825       0.176371
    4.41       0.188855       0.277405       0.120254       0.174331
